qid,text,options,answer,imgPath
1,What does CPU stand for?,Central Processing Unit|Random Access Memory|Motherboard|Digital Signal,1,
2,Which device is used to store data permanently?,Hard Drive|RAM|Cache|Register,1,
3,What is the smallest unit of memory?,Byte|Bit|Kilobyte|Megabyte,2,
4,HTML stands for?,Hyper Text Markup Language|High Tech Markup Language|Home Tool Markup Language|Hyperlinks Text Markup Language,1,
5,Which programming language is known for web development?,JavaScript|C++|Assembly|MATLAB,1,
6,What does SQL stand for?,Structured Query Language|Standard Query Language|Structured Question Language|Standard Question Language,1,
7,Which of the following is not a programming language?,Python|Java|HTML|C++,3,
8,What is the time complexity of binary search?,O(log n)|O(n)|O(n^2)|O(1),1,
9,Which data structure uses LIFO?,Stack|Queue|Array|Linked List,1,
10,What does API stand for?,Application Programming Interface|Automated Program Integration|Application Process Integration|Automated Programming Interface,1,
